0001;CU0043;BN0025;1609459200
0002;CU0012;BN0016;1609545600
0003;CU0042;BN0007;1609632000
0004;CU0014;BN0001;1609718400
0005;CU0035;BN0018;1609804800
0006;CU0005;BN0002;1609891200
0007;CU0031;BN0033;1609977600
0008;CU0010;BN0020;1610064000
0009;CU0023;BN0024;1610150400
0010;CU0026;BN0004;1610236800
0011;CU0011;BN0008;1610323200
0012;CU0034;BN0015;1610409600
0013;CU0048;BN0019;1610496000
0014;CU0015;BN0021;1610582400
0015;CU0002;BN0005;1610668800
0016;CU0030;BN0027;1610755200
0017;CU0003;BN0003;1610841600
0018;CU0013;BN0011;1610928000
0019;CU0027;BN0029;1611014400
0020;CU0016;BN0022;1611100800
0021;CU0038;BN0012;1611187200
0022;CU0040;BN0026;1611273600
0023;CU0039;BN0006;1611360000
0024;CU0033;BN0014;1611446400
0025;CU0008;BN0035;1611532800
0026;CU0001;BN0010;1611619200
0027;CU0025;BN0037;1611705600
0028;CU0037;BN0009;1611792000
0029;CU0021;BN0023;1611878400
0030;CU0020;BN0017;1611964800
0031;CU0009;BN0030;1612051200
0032;CU0036;BN0028;1612137600
0033;CU0004;BN0006;1612224000
0034;CU0045;BN0001;1612310400
0035;CU0046;BN0011;1612396800
0036;CU0022;BN0025;1612483200
0037;CU0024;BN0014;1612569600
0038;CU0049;BN0036;1612656000
0039;CU0047;BN0007;1612742400
0040;CU0029;BN0024;1612828800
0041;CU0032;BN0026;1612915200
0042;CU0035;BN0004;1613001600
0043;CU0041;BN0013;1613088000
0044;CU0044;BN0031;1613174400
0045;CU0038;BN0010;1613260800
0046;CU0013;BN0016;1613347200
0047;CU0020;BN0012;1613433600
0048;CU0015;BN0032;1613520000
0049;CU0027;BN0034;1613606400

